,period,TOA,GHI,BHI,DHI,BNI,start,end,DNI,cos_zenith,zenith_rad,zenith_deg,day_of_year,I0n,Kt,Kd,Kn,G0h,k_test,individual_limit_test,night_time_test
41,2024-04-02T17:00:00.0/2024-04-02T18:00:00.0,214.3204,95.4224,31.7073,63.7151,161.4628,2024-04-02 17:00:00,2024-04-02 18:00:00,161.4628,0.1963752641475312,1.3731364991831552,78.6749260985638,93,1365.6412429280513,0.3558171928218735,0.6677163852512618,0.11823222302060091,268.17815981075887,Passed,Passed,Passed
42,2024-04-02T18:00:00.0/2024-04-02T19:00:00.0,5.4005,1.2926,0.0357,1.2569,0.911,2024-04-02 18:00:00,2024-04-02 19:00:00,0.911,0.03918770581778273,1.5315985841011097,87.75413477720626,93,1365.6412429280513,0.02415336744163584,0.9723812470988704,0.0006670858871007281,53.51634728049563,Passed,Passed,Failed
43,2024-04-02T19:00:00.0/2024-04-02T20:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-02 19:00:00,2024-04-02 20:00:00,0.0,,,,93,1365.6412429280513,,,0.0,,Failed,Passed,Failed
44,2024-04-02T20:00:00.0/2024-04-02T21:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-02 20:00:00,2024-04-02 21:00:00,0.0,,,,93,1365.6412429280513,,,0.0,,Failed,Passed,Failed
45,2024-04-02T21:00:00.0/2024-04-02T22:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-02 21:00:00,2024-04-02 22:00:00,0.0,,,,93,1365.6412429280513,,,0.0,,Failed,Passed,Failed
46,2024-04-02T22:00:00.0/2024-04-02T23:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-02 22:00:00,2024-04-02 23:00:00,0.0,,,,93,1365.6412429280513,,,0.0,,Failed,Passed,Failed
47,2024-04-02T23:00:00.0/2024-04-03T00:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-02 23:00:00,2024-04-03 00:00:00,0.0,,,,93,1365.6412429280513,,,0.0,,Failed,Passed,Failed
48,2024-04-03T00:00:00.0/2024-04-03T01:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-03 00:00:00,2024-04-03 01:00:00,0.0,,,,94,1364.8652848513868,,,0.0,,Failed,Passed,Failed
49,2024-04-03T01:00:00.0/2024-04-03T02:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-03 01:00:00,2024-04-03 02:00:00,0.0,,,,94,1364.8652848513868,,,0.0,,Failed,Passed,Failed
50,2024-04-03T02:00:00.0/2024-04-03T03:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-03 02:00:00,2024-04-03 03:00:00,0.0,,,,94,1364.8652848513868,,,0.0,,Failed,Passed,Failed
51,2024-04-03T03:00:00.0/2024-04-03T04:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-03 03:00:00,2024-04-03 04:00:00,0.0,,,,94,1364.8652848513868,,,0.0,,Failed,Passed,Failed
52,2024-04-03T04:00:00.0/2024-04-03T05:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-03 04:00:00,2024-04-03 05:00:00,0.0,,,,94,1364.8652848513868,,,0.0,,Failed,Passed,Failed
53,2024-04-03T05:00:00.0/2024-04-03T06:00:00.0,5.7818,1.4509,0.0879,1.363,2.337,2024-04-03 05:00:00,2024-04-03 06:00:00,2.337,0.037612323491656004,1.5331751293761045,87.84446416767474,94,1364.8652848513868,0.028262952611542474,0.9394169136398097,0.001712256898859043,51.33575461636158,Passed,Passed,Failed
54,2024-04-03T06:00:00.0/2024-04-03T07:00:00.0,216.4972,103.0844,44.7498,58.3345,234.8833,2024-04-03 06:00:00,2024-04-03 07:00:00,234.8833,0.19051971766404852,1.379104792675144,79.01688412655017,94,1364.8652848513868,0.39642700421651145,0.5658906682291404,0.17209266189635355,260.0337487193474,Passed,Passed,Passed
55,2024-04-03T07:00:00.0/2024-04-03T08:00:00.0,518.1746,327.3445,206.2951,121.0494,532.9752,2024-04-03 07:00:00,2024-04-03 08:00:00,532.9752,0.3870632254558936,1.173351909741656,67.228112311812,94,1364.8652848513868,0.6196313025428036,0.3697920692114882,0.39049656102729063,528.2891594673548,Passed,Passed,Passed
56,2024-04-03T08:00:00.0/2024-04-03T09:00:00.0,788.6442,555.9752,396.5307,159.4444,682.6389,2024-04-03 08:00:00,2024-04-03 09:00:00,682.6389,0.5808792906469291,0.9509878286535741,54.487588950160095,94,1364.8652848513868,0.7012610839279906,0.28678329537000935,0.5001511193643767,792.8219784930924,Passed,Passed,Passed
57,2024-04-03T09:00:00.0/2024-04-03T10:00:00.0,1009.488,747.8678,561.4731,186.3948,757.2294,2024-04-03 09:00:00,2024-04-03 10:00:00,757.2294,0.741483360260444,0.7355178949065366,42.14207113449138,94,1364.8652848513868,0.7389816215875626,0.24923495837098483,0.5548015678942636,1012.0248977144345,Passed,Passed,Passed
58,2024-04-03T10:00:00.0/2024-04-03T11:00:00.0,1165.6713,884.666,679.6257,205.0402,794.4185,2024-04-03 10:00:00,2024-04-03 11:00:00,794.4185,0.8555009733534655,0.544278757769694,31.184875698826733,94,1364.8652848513868,0.7576507209823048,0.23177131256315942,0.582049018915812,1167.6435796867165,Passed,Passed,Passed
59,2024-04-03T11:00:00.0/2024-04-03T12:00:00.0,1246.5674,954.9122,737.4868,217.4254,806.2955,2024-04-03 11:00:00,2024-04-03 12:00:00,806.2955,0.9146606920167607,0.41612861387825434,23.84241330985303,94,1364.8652848513868,0.7649158123913022,0.2276915092298538,0.590750976634147,1248.3886259518226,Passed,Passed,Passed
60,2024-04-03T12:00:00.0/2024-04-03T13:00:00.0,1246.6821,952.8785,728.6865,224.192,796.5281,2024-04-03 12:00:00,2024-04-03 13:00:00,796.5281,0.9148283657538259,0.41571361344799174,23.818635536702867,94,1364.8652848513868,0.7631468538427454,0.23527868453323272,0.5835946659649489,1248.6174780147242,Passed,Passed,Passed
61,2024-04-03T13:00:00.0/2024-04-03T14:00:00.0,1166.028,878.1683,655.2559,222.9125,765.4724,2024-04-03 13:00:00,2024-04-03 14:00:00,765.4724,0.8560149262076595,0.5432853745068643,31.127959030427654,94,1364.8652848513868,0.7516343698451461,0.25383801715457044,0.5608409917784292,1168.3450560954561,Passed,Passed,Passed
62,2024-04-03T14:00:00.0/2024-04-03T15:00:00.0,1010.1221,737.2333,526.8885,210.3447,709.7427,2024-04-03 14:00:00,2024-04-03 15:00:00,709.7427,0.7423656488471103,0.7342019952958431,42.06667564053573,94,1364.8652848513868,0.7276077029163492,0.28531633066493334,0.5200093429567155,1013.2291027775958,Passed,Passed,Passed
63,2024-04-03T15:00:00.0/2024-04-03T16:00:00.0,789.6105,542.4409,359.3857,183.0552,617.0862,2024-04-03 15:00:00,2024-04-03 16:00:00,617.0862,0.582391406581447,0.9491289348674824,54.381082181653944,94,1364.8652848513868,0.6824136135054302,0.33746570363702294,0.4521224232523368,794.8858130387864,Passed,Passed,Passed
64,2024-04-03T16:00:00.0/2024-04-03T17:00:00.0,519.541,313.8046,177.1942,136.6103,454.9186,2024-04-03 16:00:00,2024-04-03 17:00:00,454.9186,0.38950770533453677,1.1706993029717983,67.07612913919131,94,1364.8652848513868,0.5902737421805792,0.43533555594787327,0.33330659446696514,531.6255451932326,Passed,Passed,Passed
65,2024-04-03T17:00:00.0/2024-04-03T18:00:00.0,218.3361,96.5189,34.9515,61.5675,179.7052,2024-04-03 17:00:00,2024-04-03 18:00:00,179.7052,0.1944929807262116,1.3750557929935505,78.78489353354504,94,1364.8652848513868,0.36359562076361124,0.6378802493604879,0.13166515552453747,265.45671754047606,Passed,Passed,Passed
66,2024-04-03T18:00:00.0/2024-04-03T19:00:00.0,6.2034,1.4706,0.0755,1.3951,2.033,2024-04-03 18:00:00,2024-04-03 19:00:00,2.033,0.03713723561239543,1.5336505494268864,87.87170373008044,94,1364.8652848513868,0.029013171217837284,0.9486604107167144,0.0014895242941294112,50.687323662705154,Passed,Passed,Failed
67,2024-04-03T19:00:00.0/2024-04-03T20:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-03 19:00:00,2024-04-03 20:00:00,0.0,,,,94,1364.8652848513868,,,0.0,,Failed,Passed,Failed
68,2024-04-03T20:00:00.0/2024-04-03T21:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-03 20:00:00,2024-04-03 21:00:00,0.0,,,,94,1364.8652848513868,,,0.0,,Failed,Passed,Failed
69,2024-04-03T21:00:00.0/2024-04-03T22:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-03 21:00:00,2024-04-03 22:00:00,0.0,,,,94,1364.8652848513868,,,0.0,,Failed,Passed,Failed
70,2024-04-03T22:00:00.0/2024-04-03T23:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-03 22:00:00,2024-04-03 23:00:00,0.0,,,,94,1364.8652848513868,,,0.0,,Failed,Passed,Failed
71,2024-04-03T23:00:00.0/2024-04-04T00:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-03 23:00:00,2024-04-04 00:00:00,0.0,,,,94,1364.8652848513868,,,0.0,,Failed,Passed,Failed
72,2024-04-04T00:00:00.0/2024-04-04T01:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 00:00:00,2024-04-04 01:00:00,0.0,,,,95,1364.089959336892,,,0.0,,Failed,Passed,Failed
73,2024-04-04T01:00:00.0/2024-04-04T02:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 01:00:00,2024-04-04 02:00:00,0.0,,,,95,1364.089959336892,,,0.0,,Failed,Passed,Failed
74,2024-04-04T02:00:00.0/2024-04-04T03:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 02:00:00,2024-04-04 03:00:00,0.0,,,,95,1364.089959336892,,,0.0,,Failed,Passed,Failed
75,2024-04-04T03:00:00.0/2024-04-04T04:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 03:00:00,2024-04-04 04:00:00,0.0,,,,95,1364.089959336892,,,0.0,,Failed,Passed,Failed
76,2024-04-04T04:00:00.0/2024-04-04T05:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 04:00:00,2024-04-04 05:00:00,0.0,,,,95,1364.089959336892,,,0.0,,Failed,Passed,Failed
77,2024-04-04T05:00:00.0/2024-04-04T06:00:00.0,6.6239,1.5517,0.0743,1.4774,1.8852,2024-04-04 05:00:00,2024-04-04 06:00:00,1.8852,0.03941226395077447,1.5313738523527451,87.74125859650236,95,1364.089959336892,0.028862461408353024,0.9521170329316233,0.0013820202891284595,53.7618735299868,Passed,Passed,Failed
78,2024-04-04T06:00:00.0/2024-04-04T07:00:00.0,220.4958,95.4809,32.774,62.7068,166.4315,2024-04-04 06:00:00,2024-04-04 07:00:00,166.4315,0.1969224575876562,1.3725784084441581,78.64294985463394,95,1364.089959336892,0.3554497758201362,0.6567470562175262,0.12200918191708211,268.6199471632668,Passed,Passed,Passed
79,2024-04-04T07:00:00.0/2024-04-04T08:00:00.0,521.7994,309.8935,170.0129,139.8806,434.0667,2024-04-04 07:00:00,2024-04-04 08:00:00,434.0667,0.3916745974754572,1.1683454282766073,66.94126205365423,95,1364.089959336892,0.5800214424681609,0.4513828137731188,0.3182097317181394,534.27938574359,Passed,Passed,Passed
80,2024-04-04T08:00:00.0/2024-04-04T09:00:00.0,791.9329,535.8397,346.9121,188.9275,593.739,2024-04-04 08:00:00,2024-04-04 09:00:00,593.739,0.5842840035773293,0.9467988082609906,54.247575761370825,95,1364.089959336892,0.6723073796962541,0.35258212484069396,0.4352638152168695,797.0159426809956,Passed,Passed,Passed
81,2024-04-04T09:00:00.0/2024-04-04T10:00:00.0,1012.5011,727.1398,505.9984,221.1414,679.7502,2024-04-04 09:00:00,2024-04-04 10:00:00,679.7502,0.7443887475134249,0.7311773493788745,41.89337619497195,95,1364.089959336892,0.716102359422358,0.3041250114489676,0.49831772116440065,1015.4132163264277,Passed,Passed,Passed
82,2024-04-04T10:00:00.0/2024-04-04T11:00:00.0,1168.4883,864.2278,622.6583,241.5694,725.5765,2024-04-04 10:00:00,2024-04-04 11:00:00,725.5765,0.8581567898078287,0.5391277896131123,30.889746963048314,95,1364.089959336892,0.7382757051914702,0.2795205153085795,0.5319124996365455,1170.6030605136389,Passed,Passed,Passed
83,2024-04-04T11:00:00.0/2024-04-04T12:00:00.0,1249.2812,935.4375,682.8854,252.5521,744.5273,2024-04-04 11:00:00,2024-04-04 12:00:00,744.5273,0.9172066625360816,0.40978459862756733,23.478928010822035,95,1364.089959336892,0.747660717228284,0.26998286897841917,0.5458051317685292,1251.15239900237,Passed,Passed,Passed
84,2024-04-04T12:00:00.0/2024-04-04T13:00:00.0,1249.3931,935.1158,680.3851,254.7307,741.7015,2024-04-04 12:00:00,2024-04-04 13:00:00,741.7015,0.9173300849465721,0.4094747020224554,23.46117224326369,95,1364.089959336892,0.7473030346674543,0.27240551384117345,0.5437335675137981,1251.320758273277,Passed,Passed,Passed
85,2024-04-04T13:00:00.0/2024-04-04T14:00:00.0,1168.8363,862.5302,614.4531,248.077,715.6788,2024-04-04 13:00:00,2024-04-04 14:00:00,715.6788,0.8585600132349875,0.5383418562696695,30.844716299490436,95,1364.089959336892,0.7364794617853018,0.28761543653775834,0.5246565998828289,1171.1530935419955,Passed,Passed,Passed
86,2024-04-04T14:00:00.0/2024-04-04T15:00:00.0,1013.1223,724.3245,493.5606,230.7639,662.4384,2024-04-04 14:00:00,2024-04-04 15:00:00,662.4384,0.7450664091936698,0.7301619257749704,41.83519670805028,95,1364.089959336892,0.7126809973641013,0.3185918742221201,0.4856266226913824,1016.3376078202772,Passed,Passed,Passed
87,2024-04-04T15:00:00.0/2024-04-04T16:00:00.0,792.8836,532.8317,333.6725,199.1592,570.0229,2024-04-04 15:00:00,2024-04-04 16:00:00,570.0229,0.5853668335079169,0.9454638913283969,54.17109065513266,95,1364.089959336892,0.6672966282434628,0.3737750588037461,0.417877791782221,798.4930201169796,Passed,Passed,Passed
88,2024-04-04T16:00:00.0/2024-04-04T17:00:00.0,523.1495,307.6991,160.9128,146.7863,409.328,2024-04-04 16:00:00,2024-04-04 17:00:00,409.328,0.3931145682679904,1.1667798969199095,66.85156371422005,95,1364.089959336892,0.5738046657571271,0.4770449442328561,0.30007405098046575,536.2436354434229,Passed,Passed,Passed
89,2024-04-04T17:00:00.0/2024-04-04T18:00:00.0,222.3202,95.2257,30.3274,64.8983,152.5782,2024-04-04 17:00:00,2024-04-04 18:00:00,152.5782,0.19876627198380892,1.370697412942529,78.53517675110749,95,1364.089959336892,0.35121129088580605,0.6815208499386195,0.11185347341327176,271.1350758679395,Passed,Passed,Passed
90,2024-04-04T18:00:00.0/2024-04-04T19:00:00.0,7.0937,1.6686,0.0758,1.5928,1.973,2024-04-04 18:00:00,2024-04-04 19:00:00,1.973,0.038418651799290465,1.5323682177705211,87.7982315382347,95,1364.089959336892,0.03183956360536494,0.9545726956730193,0.0014463855455391738,52.406497170672345,Passed,Passed,Failed
91,2024-04-04T19:00:00.0/2024-04-04T20:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 19:00:00,2024-04-04 20:00:00,0.0,,,,95,1364.089959336892,,,0.0,,Failed,Passed,Failed
